id	unit	kind	pos	cefr	cefr_source	zipf
w:affection|noun	affection	word	noun	B1	cefrj	3.96
w:affectionate|adj	affectionate	word	adj	B2	cefrj	3.29
w:affectionately|adv	affectionately	word	adv	B2	cefrj	2.80
w:afford|verb	afford	word	verb	B1	cefrj	4.61
w:affordable|adj	affordable	word	adj	B2	cefrj	3.06
w:afraid|adj	afraid	word	adj	A1	cefrj	5.37
w:after|adv	after	word	adv	A2	cefrj	5.90
w:after|conj	after	word	conj	B1	cefrj	5.90
w:after|prep	after	word	prep	A1	cefrj	5.90
w:afternoon|noun	afternoon	word	noun	A1	cefrj	4.91
w:afterward|adv	afterward	word	adv	B1	cefrj	3.29
w:afterwards|adv	afterwards	word	adv	B1	cefrj	4.27
w:again|adv	again	word	adv	A1	cefrj	5.91
w:against|prep	against	word	prep	A2	cefrj	5.36
w:age|noun	age	word	noun	A1	cefrj	5.01
w:aged|adj	aged	word	adj	A2	cefrj	3.72
w:ageless|adj	ageless	word	adj	B2	cefrj	2.37
w:agency|noun	agency	word	noun	A2	cefrj	4.35
w:agenda|noun	agenda	word	noun	B1	cefrj	3.85
w:agent|noun	agent	word	noun	A2	cefrj	4.91
w:aggressive|adj	aggressive	word	adj	B1	cefrj	4.01
w:aggressively|adv	aggressively	word	adv	B2	cefrj	3.03
w:aghast|adj	aghast	word	adj	C2	cefrj	0.00
w:agile|adj	agile	word	adj	C2	cefrj	3.04
w:agility|noun	agility	word	noun	C2	cefrj	2.84
w:ago|adv	ago	word	adv	A1	cefrj	5.50
w:agonise|verb	agonise	word	verb	B2	cefrj	0.00
w:agonize|verb	agonize	word	verb	B2	cefrj	0.00
w:agony|noun	agony	word	noun	B2	cefrj	3.70
w:agree|verb	agree	word	verb	A1	cefrj	4.92
w:agreeable|adj	agreeable	word	adj	C1	cefrj	3.24
w:agreement|noun	agreement	word	noun	B1	cefrj	4.33
w:agricultural|adj	agricultural	word	adj	B1	cefrj	3.34
w:agriculture|noun	agriculture	word	noun	B1	cefrj	3.43
w:ahead|adv	ahead	word	adv	A2	cefrj	5.22
w:aid|noun	aid	word	noun	B1	cefrj	4.14
w:aid|verb	aid	word	verb	B1	cefrj	4.14
w:aim|noun	aim	word	noun	B1	cefrj	4.22
w:aim|verb	aim	word	verb	B2	cefrj	4.22
